Employee_ID,Age,Gender,Department,Job_Role,Job_Level,Education,Marital_Status,Business_Travel,Distance_From_Home,Monthly_Income,Salary_Band,Hourly_Rate,Monthly_Rate,Job_Involvement,Job_Satisfaction,Environment_Satisfaction,Relationship_Satisfaction,Work_Life_Balance,Performance_Rating,Overtime,Training_Times_Last_Year,Years_At_Company,Years_In_Current_Role,Years_With_Current_Manager,Total_Working_Years,Years_Since_Last_Promotion,Num_Companies_Worked,Stock_Option_Level,Percent_Salary_Hike,Daily_Rate,Daily_Hours,Job_Change_Last_2Y,Manager_Change_Last_2Y,Attrition
EMP10010,48,Female,IT,Software Engineer,5,Bachelor's,Single,Travel_Rarely,21.0,13798,Very High,38.0,20062.0,3,,4.0,4.0,4.0,3,No,,18,3,4,25,8.0,4,0,13.0,209,7.9,No,No,No
EMP10011,45,Male,IT,Software Engineer,2,Master's,Married,Non-Travel,23.0,9402,High,32.0,18604.0,3,4.0,2.0,1.0,4.0,3,Yes,3.0,18,8,0,24,3.0,4,1,21.0,660,8.8,No,No,No
EMP10012,43,Female,Research & Development,Research Scientist,1,Bachelor's,Married,Non-Travel,19.0,7056,High,31.0,6964.0,2,2.0,2.0,1.0,4.0,2,No,2.0,11,1,11,12,,0,0,11.0,1124,7.2,No,No,No
EMP10013,58,Female,Operations,Operations Coordinator,5,Bachelor's,Single,Non-Travel,15.0,10104,Very High,88.0,3279.0,3,3.0,2.0,4.0,2.0,3,Yes,0.0,0,0,0,7,0.0,6,1,19.0,512,8.0,No,No,No
EMP10014,50,Male,Finance,Financial Analyst,2,Bachelor's,Married,,37.0,7267,High,80.0,3866.0,3,3.0,4.0,3.0,1.0,3,No,,8,7,6,15,0.0,2,0,22.0,593,7.4,No,Yes,No
EMP10015,32,Female,Research & Development,Research Scientist,2,High School,Divorced,Non-Travel,33.0,7287,High,97.0,24049.0,3,3.0,2.0,4.0,3.0,3,No,0.0,11,7,7,15,9.0,0,2,20.0,640,7.9,No,No,No
EMP10016,56,Female,IT,Software Engineer,3,Bachelor's,Married,Travel_Rarely,,9185,High,22.0,23274.0,2,,2.0,3.0,4.0,3,No,4.0,11,7,5,15,6.0,4,1,13.0,726,9.9,No,No,No
EMP10017,42,Male,Human Resources,HR Executive,1,Bachelor's,Married,Travel_Frequently,35.0,5077,Medium,79.0,23274.0,2,1.0,3.0,3.0,4.0,3,No,6.0,5,2,4,11,5.0,5,1,17.0,523,9.9,No,Yes,Yes
EMP10018,52,Female,Sales,Sales Executive,2,Bachelor's,Divorced,Travel_Rarely,28.0,8631,High,67.0,16220.0,4,3.0,,3.0,2.0,2,No,1.0,14,10,2,16,2.0,3,0,12.0,713,8.7,No,No,No
EMP10019,34,Female,Research & Development,Research Scientist,2,Master's,Divorced,Travel_Rarely,38.0,8899,High,99.0,8172.0,2,3.0,3.0,1.0,3.0,3,No,4.0,13,0,8,19,9.0,3,0,10.0,1390,8.4,No,No,No
EMP10020,58,Female,Operations,Operations Coordinator,2,Master's,Married,Non-Travel,23.0,6612,Medium,83.0,4417.0,2,2.0,3.0,4.0,2.0,3,No,4.0,2,2,2,8,2.0,0,0,18.0,446,9.2,No,No,No
EMP10021,48,Male,Operations,Operations Coordinator,4,Bachelor's,Married,Non-Travel,24.0,12748,Very High,86.0,8478.0,3,3.0,4.0,3.0,,3,Yes,6.0,13,11,12,17,7.0,0,0,11.0,403,7.4,Yes,No,No
EMP10022,38,Female,Sales,Sales Executive,2,Bachelor's,Single,Travel_Rarely,20.0,8360,High,98.0,19201.0,4,2.0,2.0,2.0,3.0,2,No,0.0,9,9,9,9,1.0,6,0,16.0,1466,7.8,No,No,No
EMP10023,23,Female,Operations,Operations Coordinator,3,Bachelor's,Married,Non-Travel,9.0,7948,High,29.0,14463.0,3,3.0,1.0,2.0,3.0,3,No,5.0,2,2,2,6,2.0,1,0,24.0,352,9.1,Yes,No,Yes
EMP10024,60,Male,Sales,Sales Executive,3,Bachelor's,Single,Travel_Rarely,36.0,7955,High,66.0,3179.0,1,4.0,2.0,1.0,3.0,3,Yes,5.0,0,0,0,0,0.0,5,2,20.0,1122,7.6,No,No,Yes
EMP10025,43,Male,Sales,Sales Executive,2,Bachelor's,Divorced,Travel_Frequently,10.0,8321,High,22.0,23137.0,4,,3.0,3.0,3.0,3,No,2.0,21,11,8,24,6.0,4,1,14.0,539,8.4,No,No,Yes
EMP10026,55,Female,IT,Software Engineer,4,Bachelor's,Single,Non-Travel,3.0,13329,Very High,50.0,24689.0,4,3.0,4.0,4.0,1.0,3,No,3.0,19,3,8,20,9.0,6,0,16.0,509,8.7,Yes,Yes,No
EMP10027,49,Female,Operations,Operations Coordinator,2,High School,Divorced,Travel_Frequently,5.0,5341,Medium,55.0,18392.0,2,4.0,4.0,3.0,1.0,3,No,0.0,0,0,0,0,0.0,4,0,14.0,459,8.3,No,No,Yes
EMP10028,38,Male,Sales,Sales Executive,2,Bachelor's,Married,Non-Travel,17.0,7691,High,37.0,22382.0,3,1.0,3.0,4.0,3.0,3,No,5.0,13,0,9,16,5.0,3,0,11.0,1407,10.0,No,No,No
EMP10029,45,Male,Research & Development,Research Scientist,4,Master's,Divorced,Travel_Frequently,33.0,11967,Very High,85.0,3892.0,3,4.0,3.0,3.0,1.0,4,No,4.0,16,7,11,18,9.0,3,1,12.0,1240,10.0,No,No,No
EMP10030,35,Male,Research & Development,Research Scientist,3,Master's,Married,Travel_Rarely,20.0,9494,High,92.0,12370.0,2,3.0,2.0,1.0,3.0,3,Yes,3.0,14,9,14,19,2.0,1,0,19.0,1048,10.2,No,No,No
EMP10031,47,Female,IT,Software Engineer,2,Bachelor's,Single,Travel_Rarely,3.0,6511,Medium,95.0,,3,3.0,4.0,3.0,2.0,3,No,3.0,2,0,2,6,2.0,0,0,16.0,1118,10.2,No,No,No
EMP10032,29,Male,Operations,Operations Coordinator,2,Bachelor's,Single,Non-Travel,14.0,7670,High,38.0,8481.0,3,3.0,2.0,3.0,2.0,3,Yes,4.0,8,8,7,9,8.0,0,0,22.0,1137,,No,No,No
EMP10033,39,Female,Sales,Sales Executive,3,Bachelor's,Married,Non-Travel,1.0,8585,High,36.0,22172.0,2,2.0,3.0,3.0,4.0,3,Yes,0.0,5,3,5,5,4.0,3,0,24.0,952,8.9,Yes,No,No
EMP10034,35,Female,Sales,Sales Executive,1,Master's,Married,Travel_Rarely,20.0,7238,High,44.0,21085.0,1,3.0,3.0,2.0,3.0,2,Yes,1.0,14,2,14,15,7.0,4,2,21.0,760,9.2,No,No,Yes
EMP10035,38,Male,Operations,Operations Coordinator,1,Bachelor's,Married,Travel_Rarely,38.0,7227,High,47.0,15526.0,2,,3.0,3.0,2.0,3,Yes,3.0,15,1,2,20,6.0,3,0,12.0,966,9.9,Yes,No,Yes
EMP10036,27,Female,Operations,Operations Coordinator,1,Bachelor's,Single,Non-Travel,32.0,5601,Medium,65.0,12203.0,3,3.0,2.0,3.0,3.0,4,No,6.0,6,6,6,13,3.0,5,0,22.0,441,7.8,No,No,No
EMP10037,37,Female,Human Resources,HR Executive,2,High School,Divorced,Travel_Rarely,7.0,6815,Medium,69.0,4361.0,3,2.0,,,4.0,3,Yes,1.0,3,3,2,4,3.0,6,0,13.0,867,8.3,No,No,Yes
EMP10038,41,Female,Operations,Operations Coordinator,2,Master's,Married,Non-Travel,1.0,8879,High,84.0,18890.0,2,3.0,3.0,4.0,3.0,3,Yes,1.0,20,11,8,27,8.0,4,0,10.0,833,9.2,No,No,No
EMP10039,43,Male,Human Resources,HR Executive,5,Bachelor's,Single,Travel_Rarely,10.0,14165,Very High,67.0,3978.0,3,4.0,3.0,3.0,3.0,4,No,3.0,22,10,3,25,6.0,0,0,21.0,620,8.5,No,No,No
EMP10040,25,Female,IT,Software Engineer,1,Bachelor's,Single,Travel_Rarely,37.0,6075,Medium,80.0,7294.0,3,3.0,3.0,4.0,1.0,3,No,3.0,4,1,4,4,4.0,3,0,13.0,590,10.4,No,No,No
EMP10041,55,Female,Research & Development,Research Scientist,1,Doctorate,Single,Travel_Rarely,17.0,7005,High,96.0,4280.0,3,4.0,3.0,3.0,4.0,3,Yes,2.0,8,2,4,9,5.0,6,0,19.0,1458,8.5,Yes,No,No
EMP10042,57,Female,Sales,Sales Executive,3,Bachelor's,Married,Travel_Frequently,14.0,10977,Very High,75.0,13228.0,3,1.0,3.0,3.0,1.0,3,No,6.0,18,2,0,20,9.0,1,0,16.0,1401,8.2,No,No,No
EMP10043,38,Male,Human Resources,HR Executive,4,Bachelor's,Single,Travel_Rarely,10.0,12522,Very High,50.0,19116.0,2,3.0,3.0,3.0,1.0,2,Yes,4.0,13,4,13,17,6.0,0,0,22.0,1331,7.5,Yes,No,No
EMP10044,25,Male,Research & Development,Research Scientist,5,Bachelor's,Single,Travel_Rarely,7.0,11529,Very High,67.0,8387.0,2,4.0,2.0,2.0,2.0,3,No,5.0,4,4,4,9,1.0,0,0,13.0,1420,8.1,No,No,No
EMP10045,32,Female,Operations,Operations Coordinator,3,Master's,Single,Travel_Rarely,13.0,9156,High,53.0,16226.0,2,2.0,3.0,3.0,2.0,3,Yes,5.0,10,10,10,13,6.0,4,0,18.0,1050,9.9,No,No,No
EMP10046,23,Male,IT,Software Engineer,2,Bachelor's,Married,Travel_Rarely,16.0,8313,High,29.0,24460.0,3,3.0,3.0,4.0,3.0,3,No,0.0,2,2,2,2,,5,1,13.0,734,10.0,Yes,Yes,No
EMP10047,31,Male,Operations,Operations Coordinator,2,Master's,Married,Non-Travel,40.0,6033,Medium,90.0,10578.0,2,3.0,3.0,2.0,2.0,4,No,,7,1,7,10,7.0,0,3,20.0,1299,8.4,No,No,No
EMP10048,53,Female,Research & Development,Research Scientist,2,Bachelor's,Single,Travel_Frequently,36.0,6337,Medium,97.0,10984.0,3,4.0,3.0,3.0,2.0,1,No,4.0,4,2,4,8,2.0,4,0,14.0,1110,8.2,No,No,No
EMP10049,38,Female,Finance,Financial Analyst,2,High School,Married,Travel_Rarely,26.0,7887,High,75.0,19547.0,4,3.0,2.0,2.0,3.0,3,No,3.0,17,9,14,21,1.0,2,0,15.0,269,7.1,No,No,Yes
EMP10050,26,Female,Research & Development,Research Scientist,1,Bachelor's,Single,Non-Travel,17.0,5218,Medium,40.0,19500.0,2,3.0,4.0,3.0,3.0,3,Yes,1.0,5,4,5,11,5.0,0,2,12.0,1221,9.3,No,No,Yes
EMP10051,34,Female,Sales,Sales Executive,1,Bachelor's,Married,Travel_Frequently,20.0,6025,Medium,33.0,17445.0,2,2.0,3.0,3.0,1.0,4,No,0.0,13,6,8,18,4.0,5,2,21.0,278,8.1,No,Yes,No
EMP10052,30,Female,Sales,Sales Executive,1,Bachelor's,Single,Non-Travel,15.0,5170,Medium,75.0,18997.0,2,3.0,3.0,2.0,4.0,4,No,0.0,2,2,2,5,2.0,2,0,16.0,950,8.2,Yes,No,No
EMP10053,51,Male,Sales,Sales Executive,4,High School,Married,Non-Travel,19.0,10643,Very High,70.0,23401.0,1,4.0,3.0,4.0,3.0,3,No,6.0,8,3,8,11,0.0,0,1,10.0,1033,9.4,No,No,No
EMP10054,59,Female,Sales,Sales Executive,2,Bachelor's,Single,Travel_Rarely,15.0,8513,High,21.0,4912.0,4,3.0,4.0,2.0,4.0,3,No,1.0,14,8,3,17,8.0,6,2,25.0,266,8.4,No,Yes,No
EMP10055,59,Female,IT,Software Engineer,4,Master's,Married,Non-Travel,9.0,11526,Very High,73.0,15359.0,1,4.0,4.0,3.0,2.0,4,No,2.0,9,8,7,15,9.0,1,0,18.0,1142,7.5,No,No,No
EMP10056,24,Female,Finance,Financial Analyst,3,High School,Single,Non-Travel,12.0,7662,High,41.0,4453.0,3,4.0,3.0,3.0,3.0,4,No,3.0,3,3,3,7,3.0,6,1,21.0,638,7.2,No,No,No
EMP10057,23,Female,Sales,Sales Executive,3,High School,Single,Non-Travel,26.0,9223,High,69.0,22769.0,4,3.0,2.0,3.0,3.0,2,Yes,0.0,2,2,2,2,2.0,5,1,15.0,687,9.9,Yes,No,Yes
EMP10058,48,Female,IT,Software Engineer,1,Master's,Married,Travel_Rarely,37.0,8403,High,53.0,20786.0,2,1.0,4.0,2.0,4.0,3,No,6.0,20,5,11,26,3.0,6,1,15.0,1315,10.3,No,No,No
EMP10059,47,Male,Sales,Sales Executive,1,Master's,Married,Travel_Rarely,26.0,5167,Medium,27.0,,2,3.0,3.0,3.0,,2,No,1.0,11,9,11,11,0.0,3,0,17.0,795,8.3,No,No,No
EMP10060,24,Male,Operations,Operations Coordinator,1,Master's,,Travel_Rarely,8.0,5846,Medium,43.0,14694.0,4,3.0,2.0,3.0,2.0,3,No,4.0,3,1,2,7,0.0,4,0,16.0,776,7.5,No,No,Yes
EMP10061,29,Female,Research & Development,Research Scientist,1,Bachelor's,Single,Travel_Rarely,3.0,5109,Medium,89.0,18445.0,3,4.0,3.0,2.0,3.0,3,Yes,3.0,8,4,8,9,6.0,6,0,15.0,574,9.5,No,No,Yes
EMP10062,45,Male,Human Resources,HR Executive,4,High School,Married,Non-Travel,5.0,9639,High,34.0,8879.0,3,2.0,2.0,4.0,4.0,3,No,1.0,4,4,4,4,,3,0,23.0,1466,10.3,No,No,No
EMP10063,44,Male,Sales,Sales Executive,3,Bachelor's,Married,Travel_Rarely,33.0,6577,Medium,22.0,22678.0,2,3.0,4.0,1.0,3.0,3,No,6.0,0,0,0,0,0.0,1,1,18.0,540,8.1,No,No,No
EMP10064,32,Male,Finance,Financial Analyst,1,Bachelor's,Married,Non-Travel,32.0,4093,Low,24.0,4106.0,4,2.0,3.0,4.0,3.0,2,No,5.0,6,6,6,10,2.0,6,0,10.0,644,7.9,No,No,No
EMP10065,58,Female,Sales,Sales Executive,1,Master's,Married,Travel_Rarely,40.0,5698,Medium,24.0,19753.0,3,2.0,4.0,4.0,2.0,3,No,6.0,6,1,6,13,5.0,2,1,14.0,1281,8.7,No,No,No
EMP10066,38,Female,Research & Development,Research Scientist,4,Master's,Married,Travel_Rarely,26.0,11088,Very High,31.0,4593.0,3,,4.0,4.0,2.0,3,No,,17,3,13,21,7.0,3,1,16.0,769,8.4,No,Yes,No
EMP10067,36,Female,Operations,Operations Coordinator,1,Master's,Single,Travel_Rarely,,5071,Medium,64.0,23346.0,2,4.0,2.0,3.0,2.0,3,Yes,0.0,0,0,0,7,0.0,2,1,11.0,153,8.5,No,No,No
EMP10068,34,Female,Research & Development,Research Scientist,3,Bachelor's,Single,Non-Travel,2.0,10053,Very High,85.0,17793.0,2,2.0,1.0,3.0,3.0,3,No,2.0,8,8,8,8,2.0,4,1,14.0,307,10.4,No,No,No
EMP10069,28,Male,Finance,Financial Analyst,2,Bachelor's,Divorced,Travel_Rarely,9.0,7221,High,55.0,17972.0,2,1.0,4.0,4.0,3.0,3,No,4.0,0,0,0,2,0.0,5,0,18.0,273,7.2,No,No,No
EMP10070,54,Female,Research & Development,Research Scientist,3,Bachelor's,Divorced,Travel_Frequently,14.0,10386,Very High,70.0,17086.0,4,4.0,2.0,,4.0,3,Yes,2.0,18,9,9,19,3.0,2,1,18.0,213,8.8,No,No,Yes
EMP10071,38,Male,Sales,Sales Executive,3,High School,Married,Non-Travel,39.0,9733,High,93.0,10329.0,1,4.0,3.0,3.0,2.0,3,No,4.0,17,1,5,17,1.0,1,1,25.0,1380,,No,No,No
EMP10072,53,Male,Operations,Operations Coordinator,3,Master's,Divorced,Travel_Rarely,37.0,7915,High,56.0,16139.0,1,4.0,3.0,4.0,3.0,4,No,5.0,0,0,0,0,0.0,4,1,11.0,685,10.2,No,No,No
EMP10073,25,Male,Human Resources,HR Executive,2,Bachelor's,Single,Non-Travel,17.0,7149,High,37.0,8517.0,2,3.0,2.0,3.0,4.0,2,No,2.0,4,4,4,7,2.0,6,1,15.0,1111,8.4,No,No,Yes
EMP10074,53,Female,Sales,Sales Executive,2,High School,Divorced,Travel_Rarely,34.0,9393,High,39.0,,3,4.0,3.0,4.0,2.0,3,No,5.0,22,5,12,26,1.0,4,0,22.0,1148,9.9,No,No,Yes
EMP10075,24,Female,Sales,Sales Executive,2,Bachelor's,Married,Travel_Rarely,10.0,4407,Low,56.0,7444.0,3,3.0,2.0,4.0,3.0,4,No,1.0,1,1,1,2,1.0,0,0,15.0,451,10.0,No,No,No
EMP10076,57,Female,Human Resources,HR Executive,2,High School,Single,Travel_Rarely,39.0,8952,High,60.0,10443.0,3,2.0,2.0,2.0,3.0,3,No,5.0,19,8,12,26,9.0,6,1,24.0,1238,7.1,Yes,No,No
EMP10077,37,Male,Human Resources,HR Executive,5,Bachelor's,Divorced,Travel_Rarely,25.0,12398,Very High,47.0,10033.0,4,2.0,3.0,3.0,3.0,1,No,3.0,10,8,3,11,4.0,2,0,22.0,929,7.9,No,No,No
EMP10078,38,Female,Research & Development,Research Scientist,2,High School,Divorced,Non-Travel,6.0,8101,High,77.0,18584.0,2,,3.0,3.0,3.0,3,No,1.0,17,3,11,23,6.0,3,1,24.0,1054,9.3,No,Yes,No
EMP10079,50,Female,Sales,Sales Executive,1,Bachelor's,Married,Travel_Rarely,34.0,6432,Medium,83.0,7213.0,3,2.0,3.0,3.0,2.0,1,No,6.0,9,7,7,11,4.0,4,2,10.0,459,9.1,No,No,Yes
EMP10080,40,Male,Human Resources,HR Executive,1,Bachelor's,Married,Non-Travel,5.0,6500,Medium,96.0,13921.0,4,3.0,3.0,4.0,3.0,3,Yes,2.0,12,2,2,14,8.0,5,0,21.0,144,10.0,No,No,No
EMP10081,25,Female,IT,Software Engineer,2,Master's,Single,Non-Travel,17.0,6605,Medium,47.0,11181.0,4,3.0,3.0,1.0,3.0,4,No,0.0,4,4,2,7,4.0,3,0,20.0,1213,9.9,No,No,No
EMP10082,56,Male,Human Resources,HR Executive,4,Bachelor's,Divorced,Non-Travel,21.0,11091,Very High,92.0,13848.0,3,3.0,2.0,3.0,2.0,3,Yes,2.0,13,10,6,16,5.0,3,3,11.0,927,7.2,No,No,No
EMP10083,35,Male,Finance,Financial Analyst,4,Bachelor's,Married,Travel_Frequently,24.0,10911,Very High,,11610.0,3,1.0,3.0,2.0,3.0,3,Yes,1.0,14,3,1,19,3.0,2,1,15.0,1256,7.8,No,No,No
EMP10084,45,Female,Research & Development,Research Scientist,2,Master's,Married,Travel_Rarely,35.0,6780,Medium,95.0,18730.0,2,3.0,1.0,2.0,3.0,3,No,3.0,10,4,8,14,9.0,2,2,12.0,1498,8.3,No,Yes,Yes
EMP10085,25,Female,Operations,Operations Coordinator,1,Master's,Single,Non-Travel,26.0,3033,Low,70.0,12080.0,1,4.0,2.0,1.0,2.0,2,No,3.0,0,0,0,0,0.0,4,0,21.0,812,9.1,No,Yes,No
EMP10086,40,Female,Sales,Sales Executive,2,Master's,Married,Non-Travel,25.0,8613,High,91.0,,2,4.0,3.0,4.0,3.0,3,No,6.0,19,7,9,25,1.0,5,1,13.0,1354,7.8,No,No,No
EMP10087,52,Male,Operations,Operations Coordinator,3,Master's,Single,Non-Travel,10.0,9926,High,24.0,18487.0,3,4.0,1.0,4.0,3.0,3,No,1.0,21,10,14,23,3.0,0,0,20.0,503,7.3,No,Yes,No
EMP10088,33,Male,IT,Software Engineer,3,Master's,Married,Travel_Rarely,8.0,9072,High,51.0,17914.0,2,2.0,1.0,4.0,2.0,3,No,5.0,12,6,3,19,4.0,0,1,25.0,753,7.7,No,No,Yes
EMP10089,53,Male,Finance,Financial Analyst,4,High School,Divorced,Travel_Frequently,22.0,8826,High,22.0,19431.0,4,3.0,3.0,3.0,4.0,2,Yes,5.0,2,2,2,8,2.0,2,0,23.0,366,8.0,No,No,Yes
EMP10090,41,Female,Operations,Operations Coordinator,1,Master's,Single,Travel_Rarely,4.0,7924,High,30.0,5468.0,3,3.0,2.0,3.0,1.0,2,No,5.0,20,6,4,20,4.0,0,0,17.0,172,8.2,No,No,No
EMP10091,27,Female,Finance,Financial Analyst,2,High School,Married,Travel_Frequently,28.0,6155,Medium,36.0,18608.0,3,2.0,1.0,3.0,4.0,4,Yes,2.0,0,0,0,4,0.0,2,0,21.0,461,7.7,No,Yes,Yes
EMP10092,38,Male,Sales,Sales Executive,4,Master's,Single,Travel_Rarely,10.0,12636,Very High,,22246.0,4,2.0,1.0,2.0,4.0,2,No,0.0,17,1,0,21,4.0,4,0,20.0,853,10.0,No,No,No
EMP10093,44,Female,Research & Development,Research Scientist,1,Bachelor's,Married,Travel_Frequently,15.0,4558,Medium,87.0,7667.0,2,4.0,4.0,1.0,4.0,2,No,4.0,6,4,4,10,3.0,2,0,22.0,491,8.3,No,No,No
EMP10094,39,Female,Human Resources,HR Executive,1,Bachelor's,Single,Travel_Rarely,28.0,5807,Medium,93.0,12186.0,1,3.0,3.0,1.0,4.0,3,No,5.0,7,3,7,14,0.0,1,0,20.0,1287,8.9,No,No,No
EMP10095,43,Male,IT,Software Engineer,5,Bachelor's,Single,Travel_Frequently,3.0,15051,Very High,65.0,4538.0,4,3.0,3.0,3.0,2.0,2,Yes,5.0,22,5,11,22,4.0,6,1,20.0,1022,9.4,No,No,No
EMP10096,45,Male,Research & Development,Research Scientist,1,Bachelor's,Single,Travel_Rarely,28.0,4817,Medium,72.0,11327.0,2,3.0,3.0,3.0,,3,Yes,4.0,10,2,6,17,5.0,5,0,21.0,680,8.6,No,No,No
EMP10097,45,Male,Human Resources,HR Executive,3,Bachelor's,Divorced,Non-Travel,8.0,9152,High,34.0,15988.0,3,3.0,2.0,2.0,4.0,3,No,5.0,1,0,1,2,1.0,6,2,17.0,325,9.8,No,No,Yes
EMP10098,60,Male,IT,Software Engineer,2,Bachelor's,Single,Non-Travel,35.0,8968,High,93.0,4157.0,3,3.0,2.0,2.0,3.0,3,No,0.0,14,3,9,16,1.0,3,1,20.0,555,9.5,Yes,Yes,No
EMP10099,35,Female,Finance,Financial Analyst,2,Bachelor's,Married,Travel_Rarely,24.0,9570,High,73.0,21826.0,3,4.0,3.0,4.0,,3,Yes,2.0,14,7,7,21,9.0,0,2,15.0,1287,10.4,No,No,No
EMP10100,37,Female,IT,Software Engineer,1,Master's,Married,Travel_Rarely,28.0,6343,Medium,43.0,11386.0,3,1.0,4.0,2.0,3.0,3,No,6.0,16,0,2,18,0.0,2,1,21.0,722,8.9,No,No,No
EMP10101,60,Male,Research & Development,Research Scientist,2,Bachelor's,Divorced,Travel_Frequently,32.0,7183,High,52.0,14296.0,1,4.0,2.0,4.0,4.0,3,No,4.0,13,9,3,16,8.0,5,0,17.0,300,8.4,Yes,No,No
EMP10102,43,Male,IT,Software Engineer,4,Bachelor's,Married,Travel_Rarely,6.0,9190,High,69.0,,3,3.0,2.0,,2.0,2,Yes,2.0,5,0,5,8,2.0,0,1,20.0,736,7.6,No,No,No
EMP10103,28,Female,Research & Development,Research Scientist,2,,Single,Travel_Rarely,9.0,7438,High,40.0,15033.0,1,2.0,2.0,1.0,2.0,3,No,6.0,0,0,0,5,0.0,1,0,11.0,1179,,Yes,No,Yes
EMP10104,58,Female,Research & Development,Research Scientist,3,Master's,Single,Travel_Rarely,21.0,8876,High,23.0,5280.0,1,1.0,3.0,4.0,4.0,3,No,3.0,8,8,4,9,0.0,0,1,20.0,664,9.4,No,No,Yes
EMP10105,34,Male,Sales,Sales Executive,2,Master's,Single,Travel_Frequently,20.0,8301,High,27.0,19417.0,2,1.0,2.0,4.0,4.0,1,Yes,4.0,13,7,3,18,1.0,3,1,17.0,930,9.8,Yes,No,Yes
EMP10106,52,Male,Operations,Operations Coordinator,2,High School,Married,Non-Travel,9.0,6005,Medium,35.0,16359.0,2,3.0,4.0,3.0,2.0,3,No,,3,3,3,4,1.0,6,1,15.0,634,9.1,No,No,No
EMP10107,56,Male,Human Resources,HR Executive,1,High School,,Non-Travel,,8492,High,84.0,16644.0,3,1.0,3.0,2.0,3.0,3,Yes,6.0,24,9,13,27,9.0,6,2,20.0,702,9.8,Yes,No,No
EMP10108,27,Male,IT,Software Engineer,1,Master's,Single,Non-Travel,15.0,4484,Low,50.0,23370.0,3,4.0,2.0,,,3,No,1.0,6,2,6,9,6.0,1,2,14.0,340,8.0,No,No,Yes
EMP10109,56,Female,Finance,Financial Analyst,5,Master's,Single,Non-Travel,11.0,16407,Very High,80.0,11548.0,2,4.0,1.0,3.0,3.0,3,No,1.0,15,11,7,18,2.0,1,2,,509,9.8,No,No,No
EMP10110,51,Male,Finance,Financial Analyst,1,Master's,Married,Travel_Rarely,31.0,5540,Medium,46.0,19150.0,4,2.0,4.0,3.0,4.0,3,No,4.0,0,0,0,2,0.0,6,0,19.0,937,8.8,No,No,No
EMP10111,40,Male,Research & Development,Research Scientist,1,Master's,Married,Travel_Rarely,12.0,5933,Medium,60.0,5897.0,1,3.0,4.0,3.0,3.0,2,No,5.0,17,1,12,23,8.0,3,0,20.0,226,7.3,No,Yes,No
